央视频道,#genre#
CCTV-1 综合HD,http://ivi6.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-1 综合,http://ivi6.bupt.edu.cn/hls/cctv1.m3u8
CCTV-1 综合,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV-2 财经HD,http://ivi6.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-2 财经,http://ivi6.bupt.edu.cn/hls/cctv2.m3u8
CCTV-2 财经,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV-3 综艺HD,http://ivi6.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-3 综艺,http://ivi6.bupt.edu.cn/hls/cctv3.m3u8
CCTV-3 综艺,http://101.71.255.229:6610/zjhs/2/10069/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-4 中文国际HD,http://ivi6.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV-4 中文国际,http://ivi6.bupt.edu.cn/hls/cctv4.m3u8
CCTV-4 中文国际,http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8
CCTV-5 体育,http://tv.ncist.edu.cn:281/live/cctv5hd.flv
CCTV-5+ 体育赛事HD,http://ivi6.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV-5+ 体育赛事,http://112.50.243.8/PLTV/88888888/224/3221225821/1.m3u8
CCTV-6 电影HD,http://ivi6.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-6 电影,http://ivi6.bupt.edu.cn/hls/cctv6.m3u8
CCTV-6 电影,http://tv.ncist.edu.cn:281/live/cctv6hd.flv
CCTV-7 国防军事HD,http://ivi6.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV-7 国防军事,http://ivi6.bupt.edu.cn/hls/cctv7.m3u8
CCTV-7 国防军事,http://112.50.243.8/PLTV/88888888/224/3221225805/1.m3u8
CCTV-8 电视剧HD,http://ivi6.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-8 电视剧,http://ivi6.bupt.edu.cn/hls/cctv8.m3u8
CCTV-9 纪录HD,http://ivi6.bupt.edu.cn/hls/cctv9hd.m3u8
CCTV-9 纪录,http://ivi6.bupt.edu.cn/hls/cctv9.m3u8
CCTV-9 记录,http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8
CCTV-10 科教HD,http://ivi6.bupt.edu.cn/hls/cctv10hd.m3u8
CCTV-10 科教,http://ivi6.bupt.edu.cn/hls/cctv10.m3u8
CCTV-10 科教,http://112.50.243.8/PLTV/88888888/224/3221225814/1.m3u8
CCTV-11 戏曲,http://112.50.243.8/PLTV/88888888/224/3221225815/1.m3u8
CCTV-11 戏曲,http://ivi6.bupt.edu.cn/hls/cctv11.m3u8
CCTV-12 社会与法HD,http://ivi6.bupt.edu.cn/hls/cctv12hd.m3u8
CCTV-12 社会与法,http://ivi6.bupt.edu.cn/hls/cctv12.m3u8
CCTV-12 社会与法,http://112.50.243.8/PLTV/88888888/224/3221225816/1.m3u8
CCTV-13 新闻,http://ivi6.bupt.edu.cn/hls/cctv13.m3u8
CCTV-13 新闻,http://210.22.242.108/live-cnc-cdn.ysp.cctv.cn/ysp/2000204603.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel16/1080p.m3u8
CCTV-14 少儿HD,http://ivi6.bupt.edu.cn/hls/cctv14hd.m3u8
CCTV-14 少儿,http://ivi6.bupt.edu.cn/hls/cctv14.m3u8
CCTV-14 少儿,http://112.50.243.8/PLTV/88888888/224/3221225819/1.m3u8
CCTV-15 音乐,http://ivi6.bupt.edu.cn/hls/cctv15.m3u8
CCTV-15 音乐,http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8
CCTV-17 农业农村HD,http://ivi6.bupt.edu.cn/hls/cctv17hd.m3u8
CCTV-17 农业农村,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
中国教育-1HD,http://ivi6.bupt.edu.cn/hls/cetv1hd.m3u8
中国教育-1,http://ivi6.bupt.edu.cn/hls/cetv1.m3u8
中国教育-3,http://ivi6.bupt.edu.cn/hls/cetv3.m3u8
中国教育-4,http://ivi6.bupt.edu.cn/hls/cetv4.m3u8
山东教育卫视,http://ivi6.bupt.edu.cn/hls/sdetv.m3u8

对外平台,#genre#
重庆国际,http://219.153.252.50/PLTV/88888888/224/3221225623/chunklist.m3u8
CGTN HD,http://ivi6.bupt.edu.cn/hls/cgtnhd.m3u8
CGTN,http://ivi6.bupt.edu.cn/hls/cctv16.m3u8
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
CGTN-英文记录,http://ivi6.bupt.edu.cn/hls/cgtndochd.m3u8
CGTN-英文记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
